"","logFC","logCPM","LR","PValue","FDR"
"oases6_k43_Locus_1741_Transcript_4_1",-6.16414657558541,3.83801667738177,22.9045713318262,1.70246489629855e-06,0.000417239494142406
"oases2_CL2356Contig1_1",-4.99345547290155,6.39300989574895,22.8394143626018,1.76116647631312e-06,0.000427839863114171
"oases2_k43_Locus_29025_Transcript_2_1",6.02031147271904,5.61435962900755,22.8101814277173,1.78815886713453e-06,0.000429666294403747
"oases3_CL154Contig2_2",-5.89300443020339,4.27706502178636,22.7978017924552,1.79971438401223e-06,0.000429666294403747
"oases2_k25_Locus_3482_Transcript_5_1",-8.56388730075506,5.84294569575036,22.7425689466632,1.85218985760929e-06,0.000434440003013073
"oases6_k43_Locus_1904_Transcript_1_1",-8.92691763791571,2.79004970529354,22.7414453736575,1.85327311800152e-06,0.000434440003013073
"oases3_k49_Locus_48659_Transcript_1_1",7.0508295566987,5.20536838983269,22.7275000037574,1.86677115471061e-06,0.000434440003013073
"oases3_k49_Locus_2882_Transcript_3_1",-5.32142541051025,5.31367808797638,22.5541998238443,2.04297414649519e-06,0.000468267689141771
"oases6_CL71Contig1_1",-5.17974970193586,4.72052849257379,22.5514085947399,2.04594462288417e-06,0.000468267689141771
"oases6_k49_Locus_6692_Transcript_1_1",-5.3120684260062,9.00704743447241,22.4271611793981,2.18265450267085e-06,0.000492671941484415
"oases2_CL2411Contig1_1",-5.07358264936576,5.02172701389243,22.4223306240155,2.1881508197654e-06,0.000492671941484415
"oases3_k49_Locus_2712_Transcript_10_1",-9.85687740536329,3.83004432847608,22.3186999750468,2.30946674946633e-06,0.000510780186068355
"TRINITY_DN37605_c1_g1_i5",-8.40536157373539,3.78908930199206,22.3096804749953,2.32033945252932e-06,0.000510780186068355
"oases3_k37_Locus_7519_Transcript_2_1",-10.1661799578593,3.89110874554137,22.3067295500415,2.3239078300214e-06,0.000510780186068355
"oases2_CL2134Contig1_1",-8.36620449392632,2.21974765843477,22.2247281781657,2.42530001240071e-06,0.000527415268955823
"oases6_k43_Locus_1655_Transcript_2_1",-5.35761349059473,4.76107270069403,22.2054577197943,2.44976436590302e-06,0.000527415268955823
"oases6_CL170Contig1_1",-5.39302372789772,4.21137745871771,22.2000093547527,2.45672599463065e-06,0.000527415268955823
"oases6_CL11160Contig1_1",-9.98745768074307,3.77742038095188,22.1837902149453,2.47756764647215e-06,0.000527798141549228
"oases3_CL21728Contig1_1",-5.62348372956217,4.33647402791577,22.1668022853208,2.49958741944522e-06,0.000528424228962717
"oases2_k25_Locus_38230_Transcript_1_1",4.90842473596247,4.9261714021137,22.1180145325408,2.56392390956247e-06,0.000532902716773886
"oases3_k25_Locus_11054_Transcript_2_1",5.22301411437992,8.14346312216142,22.0922196922046,2.59860834332313e-06,0.000532902716773886
"oases3_CL49Contig9_2",-4.63398112073039,5.75164506346345,22.0451781598692,2.66307825238462e-06,0.000532902716773886
"oases3_CL1294Contig1_1",-5.07041124273312,4.06643389103885,22.0424427172494,2.66687613695911e-06,0.000532902716773886
"oases2_k49_Locus_4241_Transcript_1_1",-8.61819421415847,2.35146161050474,22.0398129835987,2.67053237831649e-06,0.000532902716773886
"oases3_k49_Locus_15828_Transcript_8_1",-8.51685722150669,2.45211691035835,22.0124112342572,2.70893082755645e-06,0.000532902716773886
"oases3_CL4Contig3_2",-4.65552215667516,4.89693623208496,22.0117340964416,2.70988669092931e-06,0.000532902716773886
"oases6_CL64Contig6_1",-6.52241274181413,4.03530923971672,22.0067667392174,2.71690908103939e-06,0.000532902716773886
"oases6_k43_Locus_4081_Transcript_2_1",-6.63598086827249,3.46547390592818,22.0051113007216,2.71925344066953e-06,0.000532902716773886
"oases6_k25_Locus_21967_Transcript_2_1",6.7362619803616,9.22787464743948,21.9945886636493,2.73420266374171e-06,0.000532902716773886
"oases6_CL114Contig2_1",-4.93194623669743,4.44105660713595,21.9839648564617,2.7493792660671e-06,0.000532902716773886
"oases3_k25_Locus_52546_Transcript_2_1",8.0570869013114,5.31590911814189,21.9823578761325,2.75168225964706e-06,0.000532902716773886
"oases2_k43_Locus_21072_Transcript_1_1",-6.23914665650939,4.012073077679,21.9437173819723,2.80764525124616e-06,0.000539690939545033
"oases6_CL101Contig3_1",-4.89541545251341,5.12549921468406,21.9314097727693,2.82570904289846e-06,0.000539690939545033
"oases3_CL96Contig2_1",-6.75676061428513,3.61144978523765,21.9069809264581,2.861909236095e-06,0.0005428610574275
"oases3_k25_Locus_53782_Transcript_1_1",6.27806603085105,4.92667690710911,21.8924012251169,2.88373569388758e-06,0.000543280110928726
"oases3_k43_Locus_2106_Transcript_14_2",4.26519373560079,4.52418903106059,21.8483449276486,2.95071003233754e-06,0.000552141646186187
"oases3_CL666Contig1_1",-4.79635865402312,5.65398377621996,21.827544888853,2.98287039901344e-06,0.000554413508928042
"oases3_CL2Contig13_1",-4.81071785246777,6.16588091173817,21.8115217158765,3.00788454488276e-06,0.000555335697239889
"oases3_CL9616Contig1_1",6.24537110848581,6.99396225436242,21.7874993307236,3.0457813085034e-06,0.000558608394421809
"oases2_k49_Locus_15460_Transcript_2_1",-5.37838146107523,5.53148033770645,21.7634737590944,3.08416227489075e-06,0.000561926250268582
